"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
2017,"Middle","Escapement",68059.4236626872,49901.116090022,67749.2254650989,87327.997315396
2018,"Middle","Escapement",41854.3285209157,30770.0421965941,41584.2103253282,53725.8460946029
2019,"Middle","Escapement",26826.1947919291,16714.4935230053,26547.8358147867,38413.3961491486
2020,"Middle","Escapement",21275.1770591371,11551.2957991498,21213.23345299,32203.1827936206
2021,"Middle","Escapement",27877.5210662077,20751.0713694541,27720.6194796396,35758.182641656
2022,"Middle","Escapement",8241.42972882409,7693.64250814938,8126.14683876531,9406.00647475823
2023,"Middle","Escapement",9040.53969860047,7496.41619383423,8870.79375318826,11546.8280656943
2024,"Middle","Escapement",9581.88385354936,7760.71147210161,9290.70964909762,12907.3145818486
1981,"Lower","Escapement",57688.5585819769,17145.0655946926,50228.6893682301,147904.972042977
1982,"Lower","Escapement",45469.2271934201,21737.7287016509,42876.1512681127,84971.87557938
1983,"Lower","Escapement",46255.3045847991,24072.2514342779,44729.4379648289,78494.2877988931
1984,"Lower","Escapement",75685.2022407813,13432.3294880879,66626.7888275843,185546.603497535
1985,"Lower","Escapement",78680.0961232399,47007.1373241225,76946.392825621,118853.045828909
1986,"Lower","Escapement",124517.11578884,77484.7808953873,123297.979648648,184961.90925725
1987,"Lower","Escapement",81037.7969465369,50411.5929536466,78855.0676595895,119917.504030821
1988,"Lower","Escapement",74394.4993084179,44286.6710220986,72418.7738781607,114878.811883694
1989,"Lower","Escapement",50031.0107964614,16377.4832141742,47158.8780677546,100345.9448071
1990,"Lower","Escapement",98760.5914262189,56478.7922761042,95095.6036973399,163757.580957228
1991,"Lower","Escapement",91247.6896729023,56978.2231390904,89162.1038599316,138549.087579921
1992,"Lower","Escapement",37038.4131466114,22773.0100983889,36508.4185488523,57818.3424922054
1993,"Lower","Escapement",139536.202098712,88601.5872335926,139457.636111979,200446.779441113
1994,"Lower","Escapement",112147.187342495,62602.1012098644,107643.637704827,188093.345824161
1995,"Lower","Escapement",82139.558175267,56868.1714770845,81291.4088363591,116954.261930193
1996,"Lower","Escapement",39056.9782869436,24198.490341433,38150.6671488424,57839.1089909024
1997,"Lower","Escapement",100327.55564357,64958.0245622194,99087.2747620439,144220.729261592
1998,"Lower","Escapement",55974.3196598325,33748.2151332388,54633.3638511962,83477.697643303
1999,"Lower","Escapement",68138.6337826273,37635.4526464597,66194.2950872421,109607.528385238
2000,"Lower","Escapement",35404.5678246359,22042.9159205368,34851.5102172226,52934.4680595585
2001,"Lower","Escapement",86732.3139877703,58900.3915036819,84732.1178081606,125010.260147755
2002,"Lower","Escapement",75943.9144439533,60812.4797836415,75641.4883817792,92517.1555209934
2003,"Lower","Escapement",99064.5988469836,79932.2857648193,98485.0789058258,120067.1617592
2004,"Lower","Escapement",74820.0228827775,54661.2029279443,74401.4307566436,98590.2661276329
2005,"Lower","Escapement",79958.6342258695,62138.9595241029,79595.1810049327,100917.678448485
2006,"Lower","Escapement",75780.4378897711,60266.6581735758,75703.1150404527,92669.229222232
2007,"Lower","Escapement",67670.3057048287,52859.0388834516,67318.2983324565,83157.958138662
2008,"Lower","Escapement",68067.0173372994,54416.4288133414,67724.5554685334,82885.9491883314
2009,"Lower","Escapement",77370.9553677025,62611.5828818021,76976.7465171713,92777.2594277406
2010,"Lower","Escapement",39342.5813114663,29885.382288504,39205.7899369473,50360.5064360813
2011,"Lower","Escapement",68019.5388496245,54945.7873741411,67630.6450746938,82489.8529473228
2012,"Lower","Escapement",42407.0293192095,33348.69488504,42131.9949255831,52069.4914967659
2013,"Lower","Escapement",39979.5654157405,31506.8484239326,39525.7998575889,49863.6195049889
2014,"Lower","Escapement",64281.5313478951,50946.677122182,64243.9168422281,79081.9848909511
2015,"Lower","Escapement",63915.6920479044,49788.6689885304,63331.7252307568,80649.4809826952
2016,"Lower","Escapement",50668.194532997,39010.8924990201,50233.8374035203,63967.2301625844
2017,"Lower","Escapement",53103.6957020964,40598.094463075,52785.1661044711,67349.7538606723
2018,"Lower","Escapement",46867.8388742759,36091.1153059226,46508.0743872448,59868.9826459318
2019,"Lower","Escapement",76948.3062346304,62582.4070457406,76794.0503002998,93043.0646792731
2020,"Lower","Escapement",51012.395433492,39886.450937376,50612.8908590216,63510.9582795086
2021,"Lower","Escapement",40458.2744778557,30784.0041307418,40168.6710917176,51292.040184143
2022,"Lower","Escapement",15096.214699825,11761.8339358643,14992.4855297173,19117.0573897624
2023,"Lower","Escapement",13551.5326951688,10392.8498402525,13394.9779147295,17384.6420683523
2024,"Lower","Escapement",20271.5861031666,15735.4979786006,20140.5646358567,25811.9874626008
1981,"Total","Escapement",184774.394763099,123958.696659299,179251.3811239,280601.842549835
1982,"Total","Escapement",130309.447510376,87492.6490032795,126661.163840199,194289.908893658
1983,"Total","Escapement",153958.78996842,112082.28102253,152273.125974858,213523.852462997
1984,"Total","Escapement",160955.706198949,90130.1284437854,151122.515707369,279773.969252064
1985,"Total","Escapement",168313.588235514,119962.460587922,165215.878298801,230662.835962176
1986,"Total","Escapement",240789.489168882,181674.21234528,238956.371180008,312926.212737988
1987,"Total","Escapement",152449.077919915,117223.595971067,149794.3545519,197383.724445956
1988,"Total","Escapement",160247.382903186,120911.590188594,158918.301048518,209112.471525005
1989,"Total","Escapement",137107.903510887,95520.5402456776,134291.217907775,194968.206706128
1990,"Total","Escapement",238484.315964138,181702.145197157,235701.88373448,310666.876466311
1991,"Total","Escapement",170489.311401147,128489.640138096,168728.663116856,218854.221450554
1992,"Total","Escapement",116798.229838352,85419.6883159587,115740.384624539,152328.525621373
1993,"Total","Escapement",265026.883107099,196642.664852826,264189.482656299,340306.956153552
1994,"Total","Escapement",268359.476352254,206429.472781166,264882.512625175,348109.966085928
1995,"Total","Escapement",251882.162513678,199018.980534346,249680.203943871,320836.818510788
1996,"Total","Escapement",169576.260995803,131010.499125538,167751.32468738,219963.329148352
1997,"Total","Escapement",283435.170091557,223740.095256893,281018.968734328,356692.660793693
1998,"Total","Escapement",122616.32451226,93382.780717052,120946.672264112,162401.650340008
1999,"Total","Escapement",173006.299663685,127907.275132872,171503.481532367,225576.394012168
2000,"Total","Escapement",74412.8111387055,57456.4534092836,73737.2132677227,95065.3435316087
